image_path,image_file,state_id,county_id,county_name_img,county_name_csv,poverty_rate
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01001_Autauga.png,01_01001_Autauga.png,01,01001,Autauga,Autauga County,12.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01003_Baldwin.png,01_01003_Baldwin.png,01,01003,Baldwin,Baldwin County,10.5
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01005_Barbour.png,01_01005_Barbour.png,01,01005,Barbour,Barbour County,28.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01007_Bibb.png,01_01007_Bibb.png,01,01007,Bibb,Bibb County,21.6
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01009_Blount.png,01_01009_Blount.png,01,01009,Blount,Blount County,11.7
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01011_Bullock.png,01_01011_Bullock.png,01,01011,Bullock,Bullock County,36.7
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01013_Butler.png,01_01013_Butler.png,01,01013,Butler,Butler County,20.3
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01015_Calhoun.png,01_01015_Calhoun.png,01,01015,Calhoun,Calhoun County,18.5
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01017_Chambers.png,01_01017_Chambers.png,01,01017,Chambers,Chambers County,18.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01019_Cherokee.png,01_01019_Cherokee.png,01,01019,Cherokee,Cherokee County,15.4
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01021_Chilton.png,01_01021_Chilton.png,01,01021,Chilton,Chilton County,15.4
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01023_Choctaw.png,01_01023_Choctaw.png,01,01023,Choctaw,Choctaw County,21.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01025_Clarke.png,01_01025_Clarke.png,01,01025,Clarke,Clarke County,17.8
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01027_Clay.png,01_01027_Clay.png,01,01027,Clay,Clay County,17.4
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01029_Cleburne.png,01_01029_Cleburne.png,01,01029,Cleburne,Cleburne County,14.0
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01031_Coffee.png,01_01031_Coffee.png,01,01031,Coffee,Coffee County,12.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01033_Colbert.png,01_01033_Colbert.png,01,01033,Colbert,Colbert County,14.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01035_Conecuh.png,01_01035_Conecuh.png,01,01035,Conecuh,Conecuh County,22.7
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01037_Coosa.png,01_01037_Coosa.png,01,01037,Coosa,Coosa County,19.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01039_Covington.png,01_01039_Covington.png,01,01039,Covington,Covington County,18.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01041_Crenshaw.png,01_01041_Crenshaw.png,01,01041,Crenshaw,Crenshaw County,20.4
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01043_Cullman.png,01_01043_Cullman.png,01,01043,Cullman,Cullman County,14.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01045_Dale.png,01_01045_Dale.png,01,01045,Dale,Dale County,17.3
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01047_Dallas.png,01_01047_Dallas.png,01,01047,Dallas,Dallas County,29.6
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01049_DeKalb.png,01_01049_DeKalb.png,01,01049,DeKalb,DeKalb County,21.3
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01051_Elmore.png,01_01051_Elmore.png,01,01051,Elmore,Elmore County,11.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01053_Escambia.png,01_01053_Escambia.png,01,01053,Escambia,Escambia County,19.7
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01055_Etowah.png,01_01055_Etowah.png,01,01055,Etowah,Etowah County,17.2
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01057_Fayette.png,01_01057_Fayette.png,01,01057,Fayette,Fayette County,17.5
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01059_Franklin.png,01_01059_Franklin.png,01,01059,Franklin,Franklin County,17.9
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01061_Geneva.png,01_01061_Geneva.png,01,01061,Geneva,Geneva County,17.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01063_Greene.png,01_01063_Greene.png,01,01063,Greene,Greene County,33.7
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01065_Hale.png,01_01065_Hale.png,01,01065,Hale,Hale County,21.0
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01067_Henry.png,01_01067_Henry.png,01,01067,Henry,Henry County,16.0
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01069_Houston.png,01_01069_Houston.png,01,01069,Houston,Houston County,17.0
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01071_Jackson.png,01_01071_Jackson.png,01,01071,Jackson,Jackson County,17.0
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01073_Jefferson.png,01_01073_Jefferson.png,01,01073,Jefferson,Jefferson County,14.2
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01075_Lamar.png,01_01075_Lamar.png,01,01075,Lamar,Lamar County,18.1
C:\Users\zinsc\OneDrive\Desktop\MS DataScience\CSCI 5527 - Deep Learning\Project\Datasets\opt2_county_dark\opt2_county_dark\01_01077_Lauderdale.png,01_01077_Lauderdale.png,01,01077,Lauderdale,Lauderdale County,12.8
